High,Low,Open,Close,Volume,actual
2022.369995,1994.709961,1994.709961,2022.189941,4078620000,1990.969971
2022.369995,1994.709961,1994.709961,2022.189941,4078620000,1994.709961
2022.369995,1994.709961,1994.709961,2022.189941,4078620000,1994.709961
2024.569946,2012.050049,2019.27002,2019.640015,3487850000,1994.709961
2015.939941,2005.22998,2015.27002,2015.930054,3560280000,2019.27002
2032.02002,2010.040039,2014.23999,2027.219971,4057020000,2015.27002
2046.23999,2022.160034,2026.900024,2040.589966,4530480000,2014.23999
2052.360107,2041.160034,2041.160034,2049.580078,6503140000,2026.900024
2052.360107,2041.160034,2041.160034,2049.580078,6503140000,2041.160034
2052.360107,2041.160034,2041.160034,2049.580078,6503140000,2041.160034
2053.909912,2043.140015,2047.880005,2051.600098,3376600000,2041.160034
2056.600098,2040.569946,2048.639893,2049.800049,3418460000,2047.880005
2048.550049,2034.859985,2048.550049,2036.709961,3639510000,2048.639893
2036.040039,2022.48999,2032.47998,2035.939941,3407720000,2048.550049
2036.040039,2022.48999,2032.47998,2035.939941,3407720000,2032.47998
2036.040039,2022.48999,2032.47998,2035.939941,3407720000,2032.47998
2036.040039,2022.48999,2032.47998,2035.939941,3407720000,2032.47998
2042.670044,2031.959961,2037.890015,2037.050049,2809090000,2032.47998
2055.909912,2028.310059,2035.75,2055.01001,3822330000,2037.890015
2072.209961,2058.27002,2058.27002,2063.949951,3590310000,2035.75
2067.919922,2057.459961,2063.77002,2059.73999,3715280000,2058.27002
2075.070068,2043.97998,2056.620117,2072.780029,3749990000,2063.77002
2075.070068,2043.97998,2056.620117,2072.780029,3749990000,2056.620117
2075.070068,2043.97998,2056.620117,2072.780029,3749990000,2056.620117
2074.02002,2062.570068,2073.189941,2066.129883,3485710000,2056.620117
2062.5,2042.560059,2062.5,2045.170044,4154920000,2073.189941
2067.330078,2043.089966,2045.560059,2066.659912,3750800000,2062.5
2063.01001,2033.800049,2063.01001,2041.910034,3801250000,2045.560059
2060.629883,2041.689941,2045.540039,2047.599976,3359530000,2063.01001
2060.629883,2041.689941,2045.540039,2047.599976,3359530000,2045.540039
2060.629883,2041.689941,2045.540039,2047.599976,3359530000,2045.540039
2062.929932,2041.880005,2050.22998,2041.98999,3567840000,2045.540039
2065.050049,2039.73999,2043.719971,2061.719971,4239740000,2050.22998
2083.179932,2065.919922,2065.919922,2082.419922,4191830000,2043.719971
2087.840088,2078.129883,2082.889893,2082.780029,3765870000,2065.919922
2083.219971,2076.310059,2083.100098,2080.72998,3701450000,2082.889893
2083.219971,2076.310059,2083.100098,2080.72998,3701450000,2083.100098
2083.219971,2076.310059,2083.100098,2080.72998,3701450000,2083.100098
2094.659912,2073.649902,2078.830078,2094.340088,3316880000,2083.100098
2104.050049,2091.679932,2096.050049,2100.800049,3896830000,2078.830078
2111.050049,2096.320068,2101.52002,2102.399902,4184880000,2096.050049
2103.780029,2088.52002,2102.090088,2091.47998,4175290000,2101.52002
2094.320068,2081.199951,2091.48999,2091.580078,3790580000,2102.090088
2094.320068,2081.199951,2091.48999,2091.580078,3790580000,2091.48999
2094.320068,2081.199951,2091.48999,2091.580078,3790580000,2091.48999
2089.370117,2077.52002,2089.370117,2087.790039,3319740000,2091.48999
2096.870117,2085.800049,2089.840088,2091.699951,3557190000,2089.370117
2099.889893,2082.310059,2092.330078,2095.149902,4100110000,2089.840088
2099.300049,2071.620117,2090.929932,2075.810059,4309840000,2092.330078
2073.850098,2052.280029,2071.820068,2065.300049,4704720000,2090.929932
2073.850098,2052.280029,2071.820068,2065.300049,4704720000,2071.820068
2073.850098,2052.280029,2071.820068,2065.300049,4704720000,2071.820068
2083.419922,2066.110107,2067.169922,2081.429932,3841110000,2071.820068
2077.179932,2054.889893,2077.179932,2063.370117,4173390000,2067.169922
2060.300049,2045.550049,2060.300049,2051.120117,4058560000,2077.179932
2060.22998,2045.77002,2052.949951,2050.629883,4008530000,2060.300049
2057.719971,2039.449951,2047.77002,2057.139893,3796350000,2052.949951
2057.719971,2039.449951,2047.77002,2057.139893,3796350000,2047.77002
2057.719971,2039.449951,2047.77002,2057.139893,3796350000,2047.77002
2064.149902,2054.310059,2057.550049,2058.689941,3788620000,2047.77002
2084.870117,2062.629883,2062.629883,2084.389893,3600200000,2057.550049
2083.290039,2064.459961,2083.290039,2064.459961,3821980000,2062.629883
2073.98999,2053.129883,2067.169922,2064.110107,3782390000,2083.290039
2066.790039,2043.130005,2062.5,2046.609985,3579880000,2067.169922
2066.790039,2043.130005,2062.5,2046.609985,3579880000,2062.5
2066.790039,2043.130005,2062.5,2046.609985,3579880000,2062.5
2071.879883,2046.530029,2046.530029,2066.659912,3501360000,2062.5
2065.689941,2040.819946,2065.040039,2047.209961,4108960000,2046.530029
2060.610107,2034.48999,2044.380005,2047.630005,4101320000,2065.040039
2044.209961,2025.910034,2044.209961,2040.040039,3846770000,2044.380005
2058.350098,2041.880005,2041.880005,2052.320068,3507650000,2044.209961
2058.350098,2041.880005,2041.880005,2052.320068,3507650000,2041.880005
2058.350098,2041.880005,2041.880005,2052.320068,3507650000,2041.880005
2055.580078,2047.26001,2052.22998,2048.040039,3055480000,2041.880005
